username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Arman Garuda Nusantara,2303158723,2021-03-10 11:50:25,RT @isari68: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition https://t.co/tnIBTfAh1i,246,None,3321,1603,0.0,0.0
Qisty14,1274302183563915264,2021-03-10 11:47:22,"RT @PDemokrat: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition
 https://t.co/It3fdWOEHj",31,None,211,398,0.0,0.0
Indonesia Maju,1281868392144572416,2021-03-10 11:47:13,"RT @EvanisaNkri: Thank you President Jokowi, Indonesia, the dose of the covid-19 vaccine is sufficient https://t.co/xRv7eDgsYm",5,None,1251,1373,0.0,0.0
Indonesia Damai Tanpa Khilafah,1218517259573792771,2021-03-10 11:47:07,"RT @EvanisaNkri: Thank you President Jokowi, Indonesia, the dose of the covid-19 vaccine is sufficient https://t.co/xRv7eDgsYm",5,None,1471,1903,0.0,0.0
Pemilih Sejati Jokowi,1351004000099962889,2021-03-10 11:47:00,"RT @EvanisaNkri: Thank you President Jokowi, Indonesia, the dose of the covid-19 vaccine is sufficient https://t.co/xRv7eDgsYm",5,None,358,498,0.0,0.0
#PercayaJokowi,1309772501455499265,2021-03-10 11:41:38,"RT @EvanisaNkri: Thank you President Jokowi, Indonesia, the dose of the covid-19 vaccine is sufficient https://t.co/xRv7eDgsYm",5,None,915,1106,0.0,0.0
merah putih,1309775838175358976,2021-03-10 11:41:31,"RT @EvanisaNkri: Thank you President Jokowi, Indonesia, the dose of the covid-19 vaccine is sufficient https://t.co/xRv7eDgsYm",5,None,409,505,0.0,0.0
Wont Ndhesoooo,126267255,2021-03-10 11:40:51,@medcom_id @Metro_TV @KhofifahIP Gass @KemensosRI @jokowi !!,0,None,225,713,0.0,0.0
Brass Monkey OG,4798730488,2021-03-10 11:40:10,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,209,994,0.0,0.0
Geng-chan the Neanderthal,19084718,2021-03-10 11:37:16,RT @DJ_H_AG: @kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI @antonioguterres @KontraS...,3,None,162,261,0.0,0.0
Geng-chan the Neanderthal,19084718,2021-03-10 11:37:03,RT @YurikoLwin: @kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI @antonioguterres @Kontr...,2,None,162,261,0.0,0.0
Geng-chan the Neanderthal,19084718,2021-03-10 11:36:49,RT @thaungh2: @kyawwin78 @Reaproy @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI @antonioguterres...,3,None,162,261,0.0,0.0
Shoda Soda Shigawire,404008429,2021-03-10 11:35:37,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,21,165,0.0,0.0
SLEIEK,2459206598,2021-03-10 11:33:30,@kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI... https://t.co/E4YjEQof1J,0,None,132,393,0.0,0.0
🇵🇱 Erika ⚢ Zajíček 🏳️‍🌈,1351951526290309122,2021-03-10 11:31:39,@emeraldlim11 @kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI... https://t.co/J47JcdDBAA,0,None,15,62,0.0,0.0
Emerald,170984296,2021-03-10 11:30:19,@ErikaZajicek @kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI... https://t.co/hQzRTIugf7,0,None,8,30,0.0,0.0
Eugene Nyunt 🇲🇲🏴󠁧󠁢󠁥󠁮󠁧󠁿,1208328528678146048,2021-03-10 11:29:04,"@ArkarLet  [?]Safety first for peaceful communities, but close behind making a nuisance to the monsters who... https://t.co/5FpOk3ASV2",1,None,23,231,0.033333333333333326,0.5111111111111111
SLEIEK,2459206598,2021-03-10 11:28:33,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,132,393,0.0,0.0
Revolusi_Merahputih,3120858422,2021-03-10 11:26:27,"RT @PDemokrat: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition
 https://t.co/It3fdWOEHj",31,None,218,559,0.0,0.0
Myrtle,231908160,2021-03-10 11:25:15,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,1430,1628,0.0,0.0
Jb14,1317013902362841088,2021-03-10 11:20:30,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,0,56,0.0,0.0
🏴󠁧󠁢󠁷󠁬󠁳󠁿👌🇬🇧,253349786,2021-03-10 11:20:23,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,56,253,0.0,0.0
carl hill,3331730403,2021-03-10 11:19:51,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,45,193,0.0,0.0
Mahdi,955508536540360705,2021-03-10 11:12:51,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,183,132,0.0,0.0
boLoLaMONGaN.Gq,1332948911648956417,2021-03-10 11:07:00,"@2five02 @Aliflam81781110 @jokowi @Kiyai_MarufAmin @e100ss Abri @E100ss nEvEr, Giftup",0,None,3,0,0.0,0.0
boLoLaMONGaN.Gq,1332948911648956417,2021-03-10 11:05:47,"@masgung1973 @jokowi Abri @E100ss nEvEr, Giftup",0,None,3,0,0.0,0.0
Karthig Kunasakaran,2522524999,2021-03-10 11:05:12,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,370,1228,0.0,0.0
Geng-chan the Neanderthal,19084718,2021-03-10 11:04:29,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,162,261,0.0,0.0
Santa Claus,1333214118245908482,2021-03-10 11:04:18,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,16,82,0.0,0.0
Quincy,841737581809307648,2021-03-10 10:59:54,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,43,449,0.0,0.0
Hari_Subhan,1123667345237397504,2021-03-10 10:59:39,"RT @PDemokrat: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition
 https://t.co/It3fdWOEHj",31,None,26,179,0.0,0.0
Jake BroScience,1864848030,2021-03-10 10:57:42,@emeraldlim11 @kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI... https://t.co/KqvauZs0HP,0,None,106,194,0.0,0.0
WTF Am I Even Doing??,351989525,2021-03-10 10:56:23,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,126,367,0.0,0.0
Test The Weight,435329743,2021-03-10 10:56:23,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,403,735,0.0,0.0
🇵🇱 Erika ⚢ Zajíček 🏳️‍🌈,1351951526290309122,2021-03-10 10:55:57,@emeraldlim11 @kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI... https://t.co/YFxNFfPGpZ,0,None,15,62,0.0,0.0
Adrian Vendargon #ReformisNexGen,1234866951563829249,2021-03-10 10:46:06,RT @dririshsea: #Jokowi's takeover of Indonesia's opposition extends democratic backsliding. One-party dominant systems reduce accountabili...,7,Jokowi,939,77,0.0,0.0
Baginda Agung Kurniawan,1334174153935527937,2021-03-10 10:44:28,"RT @setkabgoid: President @jokowi, accompanied by Coordinating Minister for Economic Affairs @airlangga_hrt, on Wednesday (10/3), left for...",3,None,114,97,0.1,0.1
Dimas,447868549,2021-03-10 10:43:10,"RT @PDemokrat: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition
 https://t.co/It3fdWOEHj",31,None,231,266,0.0,0.0
joshua han,996392583466172416,2021-03-10 10:41:29,RT @karimnas_: Jakarta closer to rule of one party https://t.co/RRmOoeMM5b,188,None,14,45,0.0,0.0
𝕊𝕙𝕖𝕣𝕝𝕪 𝕆𝕔𝕥𝕒𝕧𝕚𝕒𝕟𝕚 🇮🇩,1161226499157942272,2021-03-10 10:34:14,@begoeloh @RAMujiyono @jokowi And He can't be relied on ,0,None,4526,4384,0.0,0.0
Tie Tan Hwa,1107545052119654400,2021-03-10 10:33:15,@taufiqrus @jokowi That's it. True,0,None,82,134,0.35,0.65
𝕊𝕙𝕖𝕣𝕝𝕪 𝕆𝕔𝕥𝕒𝕧𝕚𝕒𝕟𝕚 🇮🇩,1161226499157942272,2021-03-10 10:30:20,"@begoeloh @RAMujiyono @jokowi What can a major be proud of ?, Cannot build a political party and rely solely on his father. ",0,None,4526,4384,0.28750000000000003,0.5333333333333333
Poor Baymax,1202045379212017664,2021-03-10 10:19:35,@tuanjuan_ @komo_ramadhan @jokowi Translating javanese to english sometimes marai mumet. Love boso jowo don't you keminggris,0,None,34,132,0.25,0.3
cobain_otte,1323591306799538176,2021-03-10 10:19:05,@geloraco Ahok pecat @jokowi,0,None,21,166,0.0,0.0
ExBulletin,891382950436229120,2021-03-10 10:12:44,President Jokowi visits COVID-19 vaccinations for artists in Yogyakarta https://t.co/rgxwG7Hzn0,0,None,217,9,0.0,0.0
🍓Kes⁷ fasn’t 🍊,1007226531234496512,2021-03-10 10:10:06,@Bunnynaxx @yesisvmin @yeonhanbi @jokowi @DivHumas_Polri @nadiemmakarim yeayeay,0,None,1469,1520,0.0,0.0
"lan nangis, mleyot, gila",1292023237589659648,2021-03-10 10:06:41,@shookethadmiral @yesisvmin @yeonhanbi @jokowi @DivHumas_Polri @nadiemmakarim Hanip disband party,1,None,962,857,0.0,0.0
TiewTuan,1301574982992945153,2021-03-10 10:05:29,"RT @jagowriter: As we follow the brutal suppression of democracy in #Myanmar, democracy may be dying by a thousand cuts in #Indonesia: Indo...",5,Myanmar,10,42,-0.875,1.0
Ahmad Zuhda,79652267,2021-03-10 10:04:55,"RT @andreasharsono: Indonesian government has been accused of making a ""mockery of democracy"" after President Jokowi's chief of staff stack...",76,None,391,419,0.0,0.0
Gareng G,1132290734046892032,2021-03-10 10:01:30,@sidekils @jokowi Hooh,0,None,7432,6256,0.0,0.0
bukan pisang raja🐶tetap 3M 👌,2285441180,2021-03-10 09:55:39,@taufiqrus @jokowi Ente sehat bos???,0,None,201,378,0.0,0.0
Arnoto Susatyo,1342885768247701504,2021-03-10 09:53:18,"RT @rowifahdorie: Media asing sampai komen begini :
Jakarta closer to rule of one party https://t.co/GaPGdA0dbf",2,None,267,287,0.0,0.0
Lesley Brown,237171941,2021-03-10 09:51:33,".@johnkerry, @ScottMorrisonMP, @JonathanWNV, @jokowi, @PrakashJavdekar, @SEMARNAT_mx, @mevpr, &amp; @JapanGov -- in the... https://t.co/CBlDNdbosW",0,None,603,723,0.0,0.0
boLoLaMONGaN.Gq,1332948911648956417,2021-03-10 09:48:58,@binl0la @jokowi @E100ss jum'at,0,None,3,0,0.0,0.0
🇮🇩Tubagus Juan Lawalata,67285279,2021-03-10 09:45:37,@krisnasatriadn @komo_ramadhan @jokowi Translated https://t.co/N9F4lKuR5v,0,None,478,472,0.0,0.0
fafa,855029006906777601,2021-03-10 09:43:03,RT @karimnas_: Jakarta closer to rule of one party https://t.co/RRmOoeMM5b,188,None,111,624,0.0,0.0
#Caremy🇮🇩Indonesia,86885422,2021-03-10 09:41:20,@yaniarsim @jokowi @DivHumas_Polri Emberrr...,0,None,13592,1056,0.0,0.0
IwanSatyanegaraKamah,211277470,2021-03-10 09:39:53,INDONESIA'S President Joko Widodo visited Bagong Kussudiardja art learning center to saw mass vaccinations for art... https://t.co/fINDovoSHH,0,None,1338,1243,-0.1,0.1
Jinggaviolet,1323890136539525123,2021-03-10 09:35:53,RT @Paltiwest: @Jinggaviolet3 @jokowi Amin ,1,None,10207,9096,0.0,0.0
paing,886725589226332160,2021-03-10 09:35:50,@YopiEkaPutra3 @Rudy_Erka @taufiqrus @jokowi Saia prihatin,0,None,50,112,0.0,0.0
Uni Rezka Oktoberia,1354363519857135616,2021-03-10 09:33:45,"RT @PDemokrat: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition
 https://t.co/It3fdWOEHj",31,None,510,352,0.0,0.0
Human Resource HRD,63423098,2021-03-10 09:30:47,Jokowi is spactacle as much as Keeping Up with Kardashians.,0,None,493,507,0.2,0.2
Sheny Andrea,136367419,2021-03-10 09:27:21,Our president @jokowi will not tolerate this for sure  you are not welcome EM! https://t.co/WeiCM2riO2,0,None,5769,92,0.0,0.8944444444444444
NalaR ®️ ☕,214159664,2021-03-10 09:26:57,@Jinggaviolet3 @jokowi Amin ,1,None,16750,3127,0.0,0.0
USINDO,74493451,2021-03-10 09:26:11,"Jokowi monitors COVID-19 vaccination for arts workers in Yogyakarta @tempo_english #USINDODailyNews
https://t.co/o8gUrFFzGb",0,USINDODailyNews,1510,720,0.0,0.0
🐙Wira🐙,52699586,2021-03-10 09:24:37,"The Indonesian government has been accused of making a ""mockery of democracy"" after President Joko Widodo's chief o... https://t.co/LyQExsBem4",0,None,5326,2389,0.0,0.0
🌹💖🙏,629469612,2021-03-10 09:20:09,"I love you pak...
[?][?][?] https://t.co/H1wMLpDlXw",0,None,175,633,0.5,0.6
Niyanni Asyahdan,37942978,2021-03-10 09:18:04,Jokowi reactions: https://t.co/uJ13v0hBBE https://t.co/3fGUGr5qkP,0,None,11268,986,0.0,0.0
IwanSatyanegaraKamah,211277470,2021-03-10 09:17:19,@maman1965 @jokowi Sequences...,0,None,1338,1243,0.0,0.0
𝖀𝖓𝖐𝖓𝖔𝖜𝖓.,33853390,2021-03-10 09:15:33,"RT @andreasharsono: Indonesian government has been accused of making a ""mockery of democracy"" after President Jokowi's chief of staff stack...",76,None,330,150,0.0,0.0
+62 BUZZER ~ 人性的美德,880734614402195456,2021-03-10 09:15:09,"RT @inyongmanise: While @jokowi is working in his joy of giving and joy of serving his people, he is made public enemy by those who live in...",3,None,3437,4853,0.4340909090909091,0.24166666666666667
Daud 🤝❤🇮🇩,997643812414488576,2021-03-10 09:10:10,@NovenNancy @thewindNcloud @jokowi Done ,0,None,10363,9879,0.0,0.0
ExBulletin,891382950436229120,2021-03-10 09:03:28,"Jokowi examines vaccination of Ulema, interfaith figures and Santri in Central Java https://t.co/EOOjgnkvhl",0,None,217,9,0.0,0.25
Yehezkiel&Karmelita,481841018,2021-03-10 09:02:59,"RT @setkabgoid: President @jokowi, accompanied by Coordinating Minister for Economic Affairs @airlangga_hrt, on Wednesday (10/3), left for...",3,None,242,502,0.1,0.1
Edi,1318248838285590528,2021-03-10 08:59:48,RT @isari68: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition https://t.co/tnIBTfAh1i,246,None,256,430,0.0,0.0
Sekretariat Kabinet,260686783,2021-03-10 08:58:51,President @jokowi on Wednesday (10/03) inspected mass COVID-19 vaccination for artists and cultural practitioners.... https://t.co/csYy3pIAv0,0,None,1123038,94,0.1,0.1
en. nar 🖐🏽,280479394,2021-03-10 08:58:42,RT @dririshsea: #Jokowi's takeover of Indonesia's opposition extends democratic backsliding. One-party dominant systems reduce accountabili...,7,Jokowi,459,502,0.0,0.0
Sekretariat Kabinet,260686783,2021-03-10 08:57:44,"President @jokowi, accompanied by Coordinating Minister for Economic Affairs @airlangga_hrt, on Wednesday (10/3), l... https://t.co/ALcFpDA6Td",3,None,1123038,94,0.2,0.2
MedcomID,902837643024539651,2021-03-10 08:57:27,Jokowi Inspects Covid-19 Vaccination of Artists in Yogyakarta https://t.co/CCCSpdev6Z,0,None,30323,47,0.0,0.0
Rudi Gunawan,963611236104511488,2021-03-10 08:51:35,"RT @rowifahdorie: Media asing sampai komen begini :
Jakarta closer to rule of one party https://t.co/GaPGdA0dbf",2,None,704,843,0.0,0.0
