username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Sharaad C. Kuttan,39710437,2021-03-10 06:53:34,RT @dririshsea: #Jokowi's takeover of Indonesia's opposition extends democratic backsliding. One-party dominant systems reduce accountabili...,7,Jokowi,11327,1268,0.0,0.0
mr Dadun,869374278,2021-03-10 06:52:51,@Cintada16 @PakarINTELek @jokowi Fback yo,0,None,27,78,0.0,0.0
ExBulletin,891382950436229120,2021-03-10 06:48:26,Jokowi praises the spirit of artists and cultural workers https://t.co/Qa1SoIbbvL,0,None,217,9,0.1,0.1
Ahmad Sahal,98665564,2021-03-10 06:48:08,Pak @jokowi give #FreedomForIBHRS #FreedomForIBHRS,1,FreedomForIBHRS,36,61,0.0,0.0
Elvheera,1248412820590346247,2021-03-10 06:45:59,@Pn097 @jokowi Yess,0,None,6732,4977,0.0,0.0
azam,1541191938,2021-03-10 06:37:05,"RT @PDemokrat: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition
 https://t.co/It3fdWOEHj",31,None,435,1488,0.0,0.0
dwijaprata,1087218849143902210,2021-03-10 06:33:37,@taufiqrus @jokowi Prettttttt,0,None,6069,5721,0.0,0.0
Seulki Lee,165540905,2021-03-10 06:28:29,"'Jokowi has held together his seven-party coalition in a way that must be the envy of his predecessors, though Indo... https://t.co/WRDNuizaRU",0,None,941,1641,0.0,0.0
Kim Jong Os,2936098081,2021-03-10 06:23:19,@Don_MNHuda @jokowi @RamliRizal @panca66 @NOTASLIMBOY @kemendagri @mohmahfudmd @DonAdam68 Wow.. 300M ,0,None,640,1414,0.1,1.0
David Gosal,1139233401712496640,2021-03-10 06:20:59,"@WR_4AG226id @KPK_RI @jokowi Mark Up
https://t.co/1xSwuRNpSB",0,None,87,136,0.0,0.0
Khey Riski W.U,79127821,2021-03-10 06:19:47,RT @karimnas_: Jakarta closer to rule of one party https://t.co/RRmOoeMM5b,188,None,359,641,0.0,0.0
Rony Fhebrian,322478156,2021-03-10 06:19:27,"RT @gitaputrid: Indonesia is no longer at the crossroad, Homer Simpson! https://t.co/EiE3BKYZJQ",17,None,799,458,0.0,0.0
jokowimega,2943222098,2021-03-10 06:15:45,CoinAwesome is one-click tipping ANY website. I love it.  #giveaway  AaAkKSDKwcnbd5YJakKYEENRbcq5XXCCGR,0,giveaway,4,14,0.5,0.6
ExBulletin,891382950436229120,2021-03-10 06:14:27,Jokowi Forms Task Force to Accelerate Electronic Transactions in Local Governments https://t.co/RpLQDxmgWF,0,None,217,9,0.0,0.0
SELO GIRING,1359477939566383104,2021-03-10 06:14:17,@taufiqrus @jokowi Fretttttt,0,None,236,2094,0.0,0.0
Dea,320641188,2021-03-10 06:11:49,RT @karimnas_: Jakarta closer to rule of one party https://t.co/RRmOoeMM5b,188,None,309,112,0.0,0.0
jokopress,2943163920,2021-03-10 06:10:45,CoinAwesome is one-click tipping ANY website. I love it.  #giveaway AdzrdP6hqXuPt2djnVWx7QzwAjyjSCRAYA,0,giveaway,12,9,0.5,0.6
Mustofa Robbani,2181724609,2021-03-10 06:08:00,"RT @andreasharsono: Indonesian government has been accused of making a ""mockery of democracy"" after President Jokowi's chief of staff stack...",76,None,324,552,0.0,0.0
DPD Demokrat NTB,1202109981039837185,2021-03-10 06:06:50,"RT @PDemokrat: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition
 https://t.co/It3fdWOEHj",31,None,620,475,0.0,0.0
marshal,1136712020,2021-03-10 06:04:25,RT @karimnas_: Jakarta closer to rule of one party https://t.co/RRmOoeMM5b,188,None,182,294,0.0,0.0
kiw,1061410511634411522,2021-03-10 06:01:58,RT @karimnas_: Jakarta closer to rule of one party https://t.co/RRmOoeMM5b,188,None,291,649,0.0,0.0
salawadhi76,249328852,2021-03-10 05:52:58,".@johnkerry, @ScottMorrisonMP, @JonathanWNV, @jokowi, @PrakashJavdekar, @SEMARNAT_mx, @mevpr, &amp; @JapanGov -- in the... https://t.co/XOSUVVTspW",0,None,16,88,0.0,0.0
kennedy ken karlos,759569444,2021-03-10 05:51:51,RT @karimnas_: Jakarta closer to rule of one party https://t.co/RRmOoeMM5b,188,None,162,371,0.0,0.0
mooier,168479569,2021-03-10 05:50:13,"RT @andreasharsono: Indonesian government has been accused of making a ""mockery of democracy"" after President Jokowi's chief of staff stack...",76,None,379,678,0.0,0.0
Antara English News,1050650108285472768,2021-03-10 05:48:02,"Jokowi departs for Yogyakarta, C Java to oversee vaccination campaign https://t.co/e1m1FlNEYw",0,None,978,5,0.0,0.0
Plonk Cyber,1310749960636260353,2021-03-10 05:47:02,"RT @PDemokrat: Indonesia moves closer to one-party rule as Jokowi aide takes over opposition
 https://t.co/It3fdWOEHj",31,None,35,105,0.0,0.0
Ngencukers Style,971173884916523008,2021-03-10 05:45:39,RT @karimnas_: Jakarta closer to rule of one party https://t.co/RRmOoeMM5b,188,None,341,1782,0.0,0.0
Karim Nas,4895949967,2021-03-10 05:45:23,"@Arth168 @revolutia of course, but the size of Jokowi's coalition &amp; there is only PKS with the potential to oppose... https://t.co/cQZTAqZU8g",0,None,1499,319,0.0,1.0
