created,text,retwc,hashtag,followers,friends
2021-05-05 05:45:07,b'RT @AgungFa45810356: data...output...outcome...\n@jokowi @halimiskandarnu @taufikmadjid71 @fachrilabalado @EfendiMashor @tppkemendes https:/\xe2\x80\xa6',8,None,297,618
2021-05-05 05:42:20,b'@kennol61 @FandriHel @BerutuRm @BennyHarmanID @jokowi Credit also to @NikitaMirzani',0,None,574,1226
2021-05-05 05:36:34,"b'@Xp0se_ @ekagumilars @jokowi @KPK_RI Hallo pak @jokowi how are you,,?!.'",0,None,1196,1685
2021-05-05 05:36:00,b'@lapakdeobi harley 75-80\njokowi 70-75\nunit sunric 65-75\ngiddy up special 45-55\nbene sg 60-65',0,None,1,23
2021-05-05 05:30:39,"b'@KenRoth https://t.co/rG1r5w4Lo9 In Myittkyina , 4 women were arrested during in strike today5.5.21.@ASEAN @jokowi\xe2\x80\xa6 https://t.co/z5lefxLMdZ'",0,None,5,81
2021-05-05 05:23:53,b'RT @nslwin: 8 anti-coup protesters were KILLED by Min Aung Hlaing-led SAC Terrorist Group on #GlobalSpringRevolutionDay\n\n#May2Coup #WhatsHa\xe2\x80\xa6',1085,GlobalSpringRevolutionDay,200,1288
2021-05-05 05:15:38,b'RT @Jelantik5: @morelli1__ @joseph__99 @UN_HRC @UN_SPExperts @OHCHRAsia @Puspen_TNI @binofficial_ri @BNPTRI @KomnasHAM @komnas_anak @Reuter\xe2\x80\xa6',3,None,2337,1397
2021-05-05 05:15:34,b'@Indianandabori1 @HKrassenstein @realDonaldTrump @nytimes @FoxNews @MohamedBinZayed @jokowi @mohmahfudmd @RTErdogan\xe2\x80\xa6 https://t.co/jt58iYPV9F',0,None,11,1
2021-05-05 05:10:56,b'@Gemacan213 @MuhammaD19s @jokowi @DivHumas_Polri @Puspen_TNI @kemendagri Cc @CNNIndonesia @BBCIndonesia @ABC\xe2\x80\xa6 https://t.co/D7gDA9Zi4j',0,None,4925,865
2021-05-05 05:08:45,b'RT @MhmdAlissa: We are saddened across the #MuslimWorld to hear of the #IndonesianSubmarine sinking &amp; the death of its crew. We send our he\xe2\x80\xa6',172,MuslimWorld,1,9
